,param_learning_rate,param_n_estimators,split,accuracy,dataset
464,0.09,50,4,0.8670886075949367,H41
465,0.09,60,0,0.9022082018927445,H41
466,0.09,60,1,0.9053627760252366,H41
467,0.09,60,2,0.8955696202531646,H41
468,0.09,60,3,0.9018987341772152,H41
469,0.09,60,4,0.8670886075949367,H41
470,0.09,70,0,0.9022082018927445,H41
471,0.09,70,1,0.9022082018927445,H41
472,0.09,70,2,0.8955696202531646,H41
473,0.09,70,3,0.8924050632911392,H41
474,0.09,70,4,0.8670886075949367,H41
475,0.09,80,0,0.9022082018927445,H41
476,0.09,80,1,0.9022082018927445,H41
477,0.09,80,2,0.8860759493670886,H41
478,0.09,80,3,0.8955696202531646,H41
479,0.09,80,4,0.8670886075949367,H41
480,0.09,90,0,0.8990536277602523,H41
481,0.09,90,1,0.9053627760252366,H41
482,0.09,90,2,0.8892405063291139,H41
483,0.09,90,3,0.8860759493670886,H41
484,0.09,90,4,0.8670886075949367,H41
485,0.09,100,0,0.8990536277602523,H41
486,0.09,100,1,0.9053627760252366,H41
487,0.09,100,2,0.8860759493670886,H41
488,0.09,100,3,0.8924050632911392,H41
489,0.09,100,4,0.8670886075949367,H41
490,0.09,110,0,0.8958990536277602,H41
491,0.09,110,1,0.9053627760252366,H41
492,0.09,110,2,0.8860759493670886,H41
493,0.09,110,3,0.8955696202531646,H41
494,0.09,110,4,0.8670886075949367,H41
495,0.1,10,0,0.832807570977918,H41
496,0.1,10,1,0.9053627760252366,H41
497,0.1,10,2,0.8924050632911392,H41
498,0.1,10,3,0.8987341772151899,H41
499,0.1,10,4,0.8670886075949367,H41
500,0.1,20,0,0.9022082018927445,H41
501,0.1,20,1,0.9053627760252366,H41
502,0.1,20,2,0.8924050632911392,H41
503,0.1,20,3,0.8987341772151899,H41
504,0.1,20,4,0.870253164556962,H41
505,0.1,30,0,0.9022082018927445,H41
506,0.1,30,1,0.9053627760252366,H41
507,0.1,30,2,0.8924050632911392,H41
508,0.1,30,3,0.8987341772151899,H41
509,0.1,30,4,0.8670886075949367,H41
510,0.1,40,0,0.9022082018927445,H41
511,0.1,40,1,0.9053627760252366,H41
512,0.1,40,2,0.8924050632911392,H41
513,0.1,40,3,0.9018987341772152,H41
514,0.1,40,4,0.8670886075949367,H41
515,0.1,50,0,0.8990536277602523,H41
516,0.1,50,1,0.9053627760252366,H41
517,0.1,50,2,0.8924050632911392,H41
518,0.1,50,3,0.8987341772151899,H41
519,0.1,50,4,0.8670886075949367,H41
520,0.1,60,0,0.8990536277602523,H41
521,0.1,60,1,0.9053627760252366,H41
522,0.1,60,2,0.8924050632911392,H41
523,0.1,60,3,0.8892405063291139,H41
524,0.1,60,4,0.8670886075949367,H41
525,0.1,70,0,0.8958990536277602,H41
526,0.1,70,1,0.9053627760252366,H41
527,0.1,70,2,0.8892405063291139,H41
528,0.1,70,3,0.8860759493670886,H41
529,0.1,70,4,0.8670886075949367,H41
530,0.1,80,0,0.8990536277602523,H41
531,0.1,80,1,0.9053627760252366,H41
532,0.1,80,2,0.8860759493670886,H41
533,0.1,80,3,0.879746835443038,H41
534,0.1,80,4,0.8670886075949367,H41
535,0.1,90,0,0.8927444794952681,H41
536,0.1,90,1,0.9116719242902208,H41
537,0.1,90,2,0.8829113924050633,H41
538,0.1,90,3,0.8829113924050633,H41
539,0.1,90,4,0.8670886075949367,H41
540,0.1,100,0,0.8958990536277602,H41
541,0.1,100,1,0.9116719242902208,H41
542,0.1,100,2,0.879746835443038,H41
543,0.1,100,3,0.8860759493670886,H41
544,0.1,100,4,0.8670886075949367,H41
545,0.1,110,0,0.8927444794952681,H41
546,0.1,110,1,0.9085173501577287,H41
547,0.1,110,2,0.879746835443038,H41
548,0.1,110,3,0.8860759493670886,H41
549,0.1,110,4,0.8670886075949367,H41
550,0.01,220,0,0.5904761904761905,left_240x20
551,0.01,220,1,0.5714285714285714,left_240x20
552,0.01,220,2,0.5619047619047619,left_240x20
553,0.01,220,3,0.5789473684210527,left_240x20
554,0.01,220,4,0.6220095693779905,left_240x20
555,0.01,230,0,0.5904761904761905,left_240x20
556,0.01,230,1,0.580952380952381,left_240x20
557,0.01,230,2,0.5571428571428572,left_240x20
558,0.01,230,3,0.5789473684210527,left_240x20
559,0.01,230,4,0.6124401913875598,left_240x20
560,0.01,240,0,0.5761904761904761,left_240x20
561,0.01,240,1,0.5761904761904761,left_240x20
562,0.01,240,2,0.5523809523809524,left_240x20
563,0.01,240,3,0.5741626794258373,left_240x20
564,0.01,240,4,0.6124401913875598,left_240x20
565,0.01,250,0,0.5857142857142857,left_240x20
566,0.01,250,1,0.5666666666666667,left_240x20
567,0.01,250,2,0.5523809523809524,left_240x20
568,0.01,250,3,0.583732057416268,left_240x20
569,0.01,250,4,0.6220095693779905,left_240x20
570,0.01,260,0,0.5952380952380952,left_240x20
571,0.01,260,1,0.5619047619047619,left_240x20
572,0.01,260,2,0.5523809523809524,left_240x20
573,0.01,260,3,0.583732057416268,left_240x20
574,0.01,260,4,0.6172248803827751,left_240x20
575,0.01,270,0,0.5904761904761905,left_240x20
576,0.01,270,1,0.5666666666666667,left_240x20
577,0.01,270,2,0.5619047619047619,left_240x20
578,0.01,270,3,0.5885167464114832,left_240x20
579,0.01,270,4,0.6220095693779905,left_240x20
580,0.01,280,0,0.5952380952380952,left_240x20
581,0.01,280,1,0.5761904761904761,left_240x20
582,0.01,280,2,0.5619047619047619,left_240x20
583,0.01,280,3,0.583732057416268,left_240x20
584,0.01,280,4,0.6220095693779905,left_240x20
585,0.01,290,0,0.5904761904761905,left_240x20
586,0.01,290,1,0.5714285714285714,left_240x20
587,0.01,290,2,0.5666666666666667,left_240x20
588,0.01,290,3,0.5885167464114832,left_240x20
589,0.01,290,4,0.6124401913875598,left_240x20
590,0.01,300,0,0.6,left_240x20
591,0.01,300,1,0.5666666666666667,left_240x20
592,0.01,300,2,0.5714285714285714,left_240x20
593,0.01,300,3,0.5933014354066986,left_240x20
594,0.01,300,4,0.5980861244019139,left_240x20
595,0.01,310,0,0.6,left_240x20
596,0.01,310,1,0.5666666666666667,left_240x20
597,0.01,310,2,0.5761904761904761,left_240x20
598,0.01,310,3,0.5933014354066986,left_240x20
599,0.01,310,4,0.5980861244019139,left_240x20
600,0.01,320,0,0.5952380952380952,left_240x20
601,0.01,320,1,0.5666666666666667,left_240x20
602,0.01,320,2,0.5571428571428572,left_240x20
603,0.01,320,3,0.5933014354066986,left_240x20
604,0.01,320,4,0.5980861244019139,left_240x20
605,0.02,30,0,0.5380952380952381,left_240x20
606,0.02,30,1,0.5476190476190477,left_240x20
607,0.02,30,2,0.5238095238095238,left_240x20
608,0.02,30,3,0.5358851674641149,left_240x20
609,0.02,30,4,0.569377990430622,left_240x20
610,0.02,40,0,0.5714285714285714,left_240x20
611,0.02,40,1,0.5619047619047619,left_240x20
612,0.02,40,2,0.5523809523809524,left_240x20
613,0.02,40,3,0.5311004784688995,left_240x20
614,0.02,40,4,0.5645933014354066,left_240x20
615,0.02,50,0,0.5904761904761905,left_240x20
616,0.02,50,1,0.5523809523809524,left_240x20
617,0.02,50,2,0.5571428571428572,left_240x20
618,0.02,50,3,0.5598086124401914,left_240x20
619,0.02,50,4,0.569377990430622,left_240x20
620,0.02,60,0,0.5904761904761905,left_240x20
621,0.02,60,1,0.5285714285714286,left_240x20
622,0.02,60,2,0.5380952380952381,left_240x20
