,param_max_depth,param_min_child_weight,split,accuracy,dataset
0,1,1,0,0.832807570977918,H41
1,1,1,1,0.8517350157728707,H41
2,1,1,2,0.8386075949367089,H41
3,1,1,3,0.8449367088607594,H41
4,1,1,4,0.8449367088607594,H41
5,1,2,0,0.832807570977918,H41
6,1,2,1,0.8517350157728707,H41
7,1,2,2,0.8386075949367089,H41
8,1,2,3,0.8449367088607594,H41
9,1,2,4,0.8449367088607594,H41
10,1,3,0,0.832807570977918,H41
11,1,3,1,0.8517350157728707,H41
12,1,3,2,0.8386075949367089,H41
13,1,3,3,0.8449367088607594,H41
14,1,3,4,0.8449367088607594,H41
15,1,4,0,0.832807570977918,H41
16,1,4,1,0.8517350157728707,H41
17,1,4,2,0.8386075949367089,H41
18,1,4,3,0.8449367088607594,H41
19,1,4,4,0.8449367088607594,H41
20,1,5,0,0.832807570977918,H41
21,1,5,1,0.8517350157728707,H41
22,1,5,2,0.8386075949367089,H41
23,1,5,3,0.8449367088607594,H41
24,1,5,4,0.8449367088607594,H41
25,2,1,0,0.9022082018927445,H41
26,2,1,1,0.9053627760252366,H41
27,2,1,2,0.8924050632911392,H41
28,2,1,3,0.8955696202531646,H41
29,2,1,4,0.8670886075949367,H41
30,2,2,0,0.9022082018927445,H41
31,2,2,1,0.9053627760252366,H41
32,2,2,2,0.8924050632911392,H41
33,2,2,3,0.8987341772151899,H41
34,2,2,4,0.8670886075949367,H41
35,2,3,0,0.9022082018927445,H41
36,2,3,1,0.9053627760252366,H41
37,2,3,2,0.8924050632911392,H41
38,2,3,3,0.8924050632911392,H41
39,2,3,4,0.8670886075949367,H41
40,2,4,0,0.9022082018927445,H41
41,2,4,1,0.9022082018927445,H41
42,2,4,2,0.8924050632911392,H41
43,2,4,3,0.8892405063291139,H41
44,2,4,4,0.8670886075949367,H41
45,2,5,0,0.9022082018927445,H41
46,2,5,1,0.9022082018927445,H41
47,2,5,2,0.8860759493670886,H41
48,2,5,3,0.8892405063291139,H41
49,2,5,4,0.8670886075949367,H41
50,3,1,0,0.9022082018927445,H41
51,3,1,1,0.9053627760252366,H41
52,3,1,2,0.8924050632911392,H41
53,3,1,3,0.8987341772151899,H41
54,3,1,4,0.8670886075949367,H41
55,3,2,0,0.9022082018927445,H41
56,3,2,1,0.9053627760252366,H41
57,3,2,2,0.8924050632911392,H41
58,3,2,3,0.8987341772151899,H41
59,3,2,4,0.8670886075949367,H41
60,3,3,0,0.9022082018927445,H41
61,3,3,1,0.9053627760252366,H41
62,3,3,2,0.8924050632911392,H41
63,3,3,3,0.8955696202531646,H41
64,3,3,4,0.8670886075949367,H41
65,3,4,0,0.9022082018927445,H41
66,3,4,1,0.9022082018927445,H41
67,3,4,2,0.8892405063291139,H41
68,3,4,3,0.8924050632911392,H41
69,3,4,4,0.8670886075949367,H41
70,3,5,0,0.8958990536277602,H41
71,3,5,1,0.9022082018927445,H41
72,3,5,2,0.8860759493670886,H41
73,3,5,3,0.8892405063291139,H41
74,3,5,4,0.8670886075949367,H41
75,4,1,0,0.9022082018927445,H41
76,4,1,1,0.9085173501577287,H41
77,4,1,2,0.8924050632911392,H41
78,4,1,3,0.8987341772151899,H41
79,4,1,4,0.8670886075949367,H41
80,4,2,0,0.9022082018927445,H41
81,4,2,1,0.9053627760252366,H41
82,4,2,2,0.8924050632911392,H41
83,4,2,3,0.8987341772151899,H41
84,4,2,4,0.8670886075949367,H41
85,4,3,0,0.9022082018927445,H41
86,4,3,1,0.9053627760252366,H41
87,4,3,2,0.8924050632911392,H41
88,4,3,3,0.8860759493670886,H41
89,4,3,4,0.8670886075949367,H41
90,4,4,0,0.8990536277602523,H41
91,4,4,1,0.8990536277602523,H41
92,4,4,2,0.8892405063291139,H41
93,4,4,3,0.8829113924050633,H41
94,4,4,4,0.8670886075949367,H41
95,4,5,0,0.8958990536277602,H41
96,4,5,1,0.8927444794952681,H41
97,4,5,2,0.8829113924050633,H41
98,4,5,3,0.8829113924050633,H41
99,4,5,4,0.8670886075949367,H41
100,5,1,0,0.9022082018927445,H41
101,5,1,1,0.9085173501577287,H41
102,5,1,2,0.8924050632911392,H41
103,5,1,3,0.9050632911392406,H41
104,5,1,4,0.8670886075949367,H41
105,5,2,0,0.9022082018927445,H41
106,5,2,1,0.9022082018927445,H41
107,5,2,2,0.8924050632911392,H41
108,5,2,3,0.8955696202531646,H41
109,5,2,4,0.8670886075949367,H41
110,5,3,0,0.8990536277602523,H41
111,5,3,1,0.8990536277602523,H41
112,5,3,2,0.8924050632911392,H41
113,5,3,3,0.8860759493670886,H41
114,5,3,4,0.8670886075949367,H41
115,5,4,0,0.8990536277602523,H41
116,5,4,1,0.8990536277602523,H41
117,5,4,2,0.8892405063291139,H41
118,5,4,3,0.8892405063291139,H41
119,5,4,4,0.8670886075949367,H41
120,5,5,0,0.889589905362776,H41
121,5,5,1,0.8927444794952681,H41
122,5,5,2,0.8860759493670886,H41
123,5,5,3,0.879746835443038,H41
124,5,5,4,0.8670886075949367,H41
125,6,1,0,0.8990536277602523,H41
126,6,1,1,0.9053627760252366,H41
127,6,1,2,0.8924050632911392,H41
128,6,1,3,0.8892405063291139,H41
129,6,1,4,0.8670886075949367,H41
130,6,2,0,0.8990536277602523,H41
131,6,2,1,0.9022082018927445,H41
132,6,2,2,0.8924050632911392,H41
133,6,2,3,0.8924050632911392,H41
134,6,2,4,0.8670886075949367,H41
135,6,3,0,0.8990536277602523,H41
136,6,3,1,0.9022082018927445,H41
137,6,3,2,0.8892405063291139,H41
138,6,3,3,0.8860759493670886,H41
139,6,3,4,0.8670886075949367,H41
140,6,4,0,0.886435331230284,H41
141,6,4,1,0.889589905362776,H41
142,6,4,2,0.879746835443038,H41
143,6,4,3,0.8860759493670886,H41
144,6,4,4,0.870253164556962,H41
145,6,5,0,0.886435331230284,H41
146,6,5,1,0.8832807570977917,H41
147,6,5,2,0.8860759493670886,H41
148,6,5,3,0.879746835443038,H41
149,6,5,4,0.8670886075949367,H41
150,7,1,0,0.9022082018927445,H41
151,7,1,1,0.9053627760252366,H41
152,7,1,2,0.8892405063291139,H41
153,7,1,3,0.8924050632911392,H41
154,7,1,4,0.8670886075949367,H41
155,7,2,0,0.8990536277602523,H41
156,7,2,1,0.9053627760252366,H41
157,7,2,2,0.8924050632911392,H41
158,7,2,3,0.8924050632911392,H41
159,7,2,4,0.8670886075949367,H41
160,7,3,0,0.8958990536277602,H41
161,7,3,1,0.8990536277602523,H41
162,7,3,2,0.8829113924050633,H41
163,7,3,3,0.8829113924050633,H41
164,7,3,4,0.8670886075949367,H41
165,7,4,0,0.8927444794952681,H41
166,7,4,1,0.8990536277602523,H41
167,7,4,2,0.8860759493670886,H41
168,7,4,3,0.879746835443038,H41
169,7,4,4,0.8670886075949367,H41
170,7,5,0,0.889589905362776,H41
171,7,5,1,0.8832807570977917,H41
172,7,5,2,0.8765822784810127,H41
173,7,5,3,0.879746835443038,H41
174,7,5,4,0.8670886075949367,H41
175,8,1,0,0.8990536277602523,H41
176,8,1,1,0.9053627760252366,H41
177,8,1,2,0.8892405063291139,H41
178,8,1,3,0.8955696202531646,H41
179,8,1,4,0.8670886075949367,H41
180,8,2,0,0.8958990536277602,H41
181,8,2,1,0.8990536277602523,H41
182,8,2,2,0.8892405063291139,H41
183,8,2,3,0.8892405063291139,H41
184,8,2,4,0.8670886075949367,H41
185,8,3,0,0.8958990536277602,H41
186,8,3,1,0.8927444794952681,H41
187,8,3,2,0.8860759493670886,H41
