,database,dataset,partition,method,accuracy
88,UND_GFI,right_240x20,5,mlp_4,52.173912525177
89,UND_GFI,right_240x20,5,mlp_5,55.51839470863342
90,UND_GFI,right_240x20,6,mlp_0,52.5083601474762
91,UND_GFI,right_240x20,6,mlp_1,57.525086402893066
92,UND_GFI,right_240x20,6,mlp_2,53.34448218345642
93,UND_GFI,right_240x20,6,mlp_3,55.01672029495239
94,UND_GFI,right_240x20,6,mlp_4,56.68896436691284
95,UND_GFI,right_240x20,6,mlp_5,58.862876892089844
96,UND_GFI,right_240x20,7,mlp_0,56.68896436691284
97,UND_GFI,right_240x20,7,mlp_1,55.85284233093262
98,UND_GFI,right_240x20,7,mlp_2,54.682272672653205
99,UND_GFI,right_240x20,7,mlp_3,51.50501728057861
100,UND_GFI,right_240x20,7,mlp_4,55.35116791725161
101,UND_GFI,right_240x20,7,mlp_5,59.69899892807007
102,UND_GFI,right_240x20,8,mlp_0,56.8561851978302
103,UND_GFI,right_240x20,8,mlp_1,55.51839470863342
104,UND_GFI,right_240x20,8,mlp_2,54.180604219436646
105,UND_GFI,right_240x20,8,mlp_3,51.839464902877815
106,UND_GFI,right_240x20,8,mlp_4,59.69899892807007
107,UND_GFI,right_240x20,8,mlp_5,55.18394708633423
108,UND_GFI,right_240x20,9,mlp_0,55.51839470863342
109,UND_GFI,right_240x20,9,mlp_1,54.01337742805481
110,UND_GFI,right_240x20,9,mlp_2,55.01672029495239
111,UND_GFI,right_240x20,9,mlp_3,52.173912525177
112,UND_GFI,right_240x20,9,mlp_4,54.84949946403504
113,UND_GFI,right_240x20,9,mlp_5,54.347825050354004
114,UND_GFI,right_240x20,10,mlp_0,54.84949946403504
115,UND_GFI,right_240x20,10,mlp_1,56.02006912231445
116,UND_GFI,right_240x20,10,mlp_2,59.531772136688225
117,UND_GFI,right_240x20,10,mlp_3,57.525086402893066
118,UND_GFI,right_240x20,10,mlp_4,56.8561851978302
119,UND_GFI,right_240x20,10,mlp_5,59.86621975898743
120,UND_GFI,left_240x40,1,mlp_0,54.84949946403504
121,UND_GFI,left_240x40,1,mlp_1,54.180604219436646
122,UND_GFI,left_240x40,1,mlp_2,52.84280776977539
123,UND_GFI,left_240x40,1,mlp_3,57.190632820129395
124,UND_GFI,left_240x40,1,mlp_4,55.85284233093262
125,UND_GFI,left_240x40,1,mlp_5,52.67558693885803
126,UND_GFI,left_240x40,2,mlp_0,53.678929805755615
127,UND_GFI,left_240x40,2,mlp_1,50.66889524459839
128,UND_GFI,left_240x40,2,mlp_2,58.36120247840881
129,UND_GFI,left_240x40,2,mlp_3,57.190632820129395
130,UND_GFI,left_240x40,2,mlp_4,56.521737575531006
131,UND_GFI,left_240x40,2,mlp_5,53.84615659713745
132,UND_GFI,left_240x40,3,mlp_0,58.36120247840881
133,UND_GFI,left_240x40,3,mlp_1,56.8561851978302
134,UND_GFI,left_240x40,3,mlp_2,51.67223811149597
135,UND_GFI,left_240x40,3,mlp_3,57.85953402519226
136,UND_GFI,left_240x40,3,mlp_4,58.862876892089844
