,database,dataset,partition,method,accuracy
84,UND_GFI,left_480x80,2,cnn_dropout_simpler,61.705684661865234
85,UND_GFI,left_480x80,2,cnn_simpler,59.69899892807007
86,UND_GFI,left_480x80,2,cnn_dropout,59.36455130577088
87,UND_GFI,left_480x80,2,cnn,55.51839470863342
88,UND_GFI,left_480x80,3,cnn_dropout_simpler,60.36789417266846
89,UND_GFI,left_480x80,3,cnn_simpler,59.69899892807007
90,UND_GFI,left_480x80,3,cnn_dropout,57.35785961151123
91,UND_GFI,left_480x80,3,cnn,50.0
92,UND_GFI,left_480x80,4,cnn_dropout_simpler,58.86287689208984
93,UND_GFI,left_480x80,4,cnn_simpler,61.20401620864868
94,UND_GFI,left_480x80,4,cnn_dropout,56.68896436691284
95,UND_GFI,left_480x80,4,cnn,60.20066738128662
96,UND_GFI,left_480x80,5,cnn_dropout_simpler,58.02675485610962
97,UND_GFI,left_480x80,5,cnn_simpler,58.36120247840881
98,UND_GFI,left_480x80,5,cnn_dropout,56.35451674461365
99,UND_GFI,left_480x80,5,cnn,55.18394708633423
100,UND_GFI,left_480x80,6,cnn_dropout_simpler,59.19732451438904
101,UND_GFI,left_480x80,6,cnn_simpler,59.19732451438904
102,UND_GFI,left_480x80,6,cnn_dropout,56.521737575531006
103,UND_GFI,left_480x80,6,cnn,55.51839470863342
104,UND_GFI,left_480x80,7,cnn_dropout_simpler,58.36120247840881
105,UND_GFI,left_480x80,7,cnn_simpler,54.849499464035034
106,UND_GFI,left_480x80,7,cnn_dropout,51.67223811149597
107,UND_GFI,left_480x80,7,cnn,56.521737575531006
108,UND_GFI,left_480x80,8,cnn_dropout_simpler,55.35116791725159
109,UND_GFI,left_480x80,8,cnn_simpler,58.36120247840881
110,UND_GFI,left_480x80,8,cnn_dropout,54.51505184173584
111,UND_GFI,left_480x80,8,cnn,50.836122035980225
112,UND_GFI,left_480x80,9,cnn_dropout_simpler,59.0300977230072
113,UND_GFI,left_480x80,9,cnn_simpler,59.0300977230072
114,UND_GFI,left_480x80,9,cnn_dropout,56.68896436691284
115,UND_GFI,left_480x80,9,cnn,59.53177213668823
116,UND_GFI,left_480x80,10,cnn_dropout_simpler,58.69565010070801
117,UND_GFI,left_480x80,10,cnn_simpler,61.538463830947876
118,UND_GFI,left_480x80,10,cnn_dropout,57.692307233810425
119,UND_GFI,left_480x80,10,cnn,59.0300977230072
120,UND_GFI,right_480x80,1,cnn_dropout_simpler,54.04040217399597
121,UND_GFI,right_480x80,1,cnn_simpler,55.050504207611084
122,UND_GFI,right_480x80,1,cnn_dropout,52.35690474510193
123,UND_GFI,right_480x80,1,cnn,53.87205481529236
124,UND_GFI,right_480x80,2,cnn_dropout_simpler,55.72390556335449
